selector,method_signature,method_name,transaction_group
0x1aa3a008,register(),register,identity_operation
0xf2c298be,register(string),register,identity_operation
0x8ea42286,"register(string,(string,bytes)[])",register,identity_operation
0x2d1ef5ae,"setAgentWallet(uint256,address,uint256,bytes)",setAgentWallet,identity_operation
0x3fddcf19,unsetAgentWallet(uint256),unsetAgentWallet,identity_operation
0x3c036a7e,"giveFeedback(uint256,int128,uint8,string,string,string,string,bytes32)",giveFeedback,ecosystem_operation
0x4ab3ca99,"revokeFeedback(uint256,uint64)",revokeFeedback,ecosystem_operation
0xc2349ab2,"appendResponse(uint256,address,uint64,string,bytes32)",appendResponse,ecosystem_operation
0x0af28bd3,"setAgentURI(uint256,string)",setAgentURI,ecosystem_operation
0x466648da,"setMetadata(uint256,string,bytes)",setMetadata,ecosystem_operation
